🕘️更新时间,#genre#
2026-03-01 18:25:37,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$订阅源

📺央视频道,#genre#
CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$订阅源
CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$订阅源
CCTV-1,http://23.237.228.134/live5/CCTV1.m3u8$订阅源
CCTV-1,http://23.237.228.134/live5/CCTV1.m3u8$订阅源
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=10$订阅源
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=10$订阅源
CCTV-2,http://74.91.26.218:82/live/cctv2hd.m3u8$订阅源
CCTV-2,http://74.91.26.218:82/live/cctv2hd.m3u8$订阅源
CCTV-2,http://116.115.6.103:1234/631780532?reptoken=R/mg&auth=$订阅源
CCTV-2,http://116.115.6.103:1234/631780532?reptoken=R/mg&auth=$订阅源
CCTV-2,http://23.237.228.134/live5/CCTV2.m3u8$订阅源
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=1$订阅源
CCTV-3,http://38.75.136.137:98/gslb/dsdqca/cctv3hd.m3u8?auth=test20251009$订阅源
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8$订阅源
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=12$订阅源
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$订阅源
CCTV-4,http://74.91.26.218:82/live/cctv4hd.m3u8$订阅源
CCTV-4,http://116.115.6.103:1234/631780421?reptoken=R/mg&auth=$订阅源
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=11$订阅源
CCTV-5,http://74.91.26.218:82/live/cctv5hd.m3u8$订阅源
CCTV-5,http://23.237.228.134/live5/CCTV5p.m3u8$订阅源
CCTV-5+,https://iptv.catvod.com/live.php?id=CCTV5%2B&line=1$订阅源
